Key,English(en),Hebrew(he)
placeholder,PLACEHOLDER,ממלא מקום
back,Back,חזרה
guides,Guides,מדריכים
quiz,Quiz,חידון
badges,Badges,תגים
changeuser,Change User,החלפת משתמש
resetplacement,Reset Placement,איפוס מיקום
enddemo,End Demo,סיום דמו
userdetails,User Details,פרטי משתמש
username,Username,משתמש
group,Group,קבוצה
clickprompt,Click on the green floor to place the production line,לחץ על הרצפה הירוקה כדי למקם את הפס ייצור
,(You can drag around on the green floor afterwards),(ניתן לגרור על הרצפה הירוקה לאחר מכן)
menu,Menu,תפריט
submit,Submit,הגשה
summary,Summary,סיכום
links,Links,קישורים
